frame,time_s,object_id,reference_id,x_relative,y_relative,depth_difference_raw,status,role
31,2.066666666666667,water-bottle,phone,-0.5068713313967311,-0.2571765306138109,6.157641887664795,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
31,2.066666666666667,moisturizer,phone,0.07667843179560319,0.05753002632060178,1.0337023735046387,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
32,2.1333333333333333,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
32,2.1333333333333333,water-bottle,phone,-0.49810119158880695,-0.24709932851391825,5.875308990478516,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
32,2.1333333333333333,moisturizer,phone,0.07414434258382963,0.05513401861099709,1.0120925903320312,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
33,2.2,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
33,2.2,water-bottle,phone,-0.48411742190732027,-0.238435499432898,6.0140180587768555,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
33,2.2,moisturizer,phone,0.07603228553264585,0.056422285913029,1.0067310333251953,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
34,2.2666666666666666,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
34,2.2666666666666666,water-bottle,phone,-0.4705991081940485,-0.22893519391670364,5.868855953216553,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
34,2.2666666666666666,moisturizer,phone,0.07825203104164069,0.057912531508729215,1.02117919921875,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
35,2.3333333333333335,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
35,2.3333333333333335,water-bottle,phone,-0.4577235675099929,-0.21875189402857909,6.046996593475342,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
35,2.3333333333333335,moisturizer,phone,0.08042796283811993,0.05970406351226354,1.003990650177002,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
36,2.4,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
